Timestamp (s),Motor ID,CAN ID,Target RPM,Raw Frame (Hex)
24.504,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
24.519,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
24.536,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
24.598,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
24.629,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
24.660,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
24.692,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
24.724,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
24.755,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
24.770,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
24.786,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
24.817,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
24.862,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
24.893,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
24.924,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
24.940,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
24.956,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
24.987,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.018,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.049,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.081,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.112,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.128,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.168,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.181,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.194,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.233,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.267,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.285,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.318,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.351,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.380,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.409,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.449,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.481,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.517,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.551,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.565,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.578,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.610,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.634,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.656,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.694,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.734,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.769,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.794,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.813,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.827,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.859,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.879,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.892,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
25.934,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
25.966,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
25.982,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
25.998,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
26.044,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
26.083,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
26.110,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
26.135,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
26.163,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
26.189,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
26.227,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
26.267,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
26.282,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
26.298,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
26.311,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
26.330,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
26.401,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
26.432,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
26.467,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
26.501,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
26.526,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
26.559,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
26.591,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
